	sources	targets	score	pmids	flow
0	S	NGLY1	0.7		0.6536423841059598
1	ABCC4	E	0.004635761589403973		0.004635761589403973
2	ADAMTS15	E	0.004635761589403973		0.004635761589403973
3	ADAMTS6	E	0.004635761589403973		0.004635761589403973
4	AGPAT3	E	0.004635761589403973		0.004635761589403973
5	AHR	E	0.004635761589403973		0.004635761589403973
6	AMMECR1	E	0.004635761589403973		0.004635761589403973
8	ATF3	E	0.004635761589403973		0.004635761589403973
9	ATG4A	E	0.004635761589403973		0.004635761589403973
10	ATL1	E	0.004635761589403973		0.004635761589403973
11	ATP6AP2	E	0.004635761589403973		0.004635761589403973
12	BAHCC1	E	0.004635761589403973		0.004635761589403973
13	BARHL1	E	0.004635761589403973		0.004635761589403973
14	BCAR3	E	0.004635761589403973		0.004635761589403973
15	BTG1	E	0.004635761589403973		0.004635761589403973
16	CA10	E	0.004635761589403973		0.004635761589403973
17	CACNA1A	E	0.004635761589403973		0.004635761589403973
18	CAMK4	E	0.004635761589403973		0.004635761589403973
19	CELSR2	E	0.004635761589403973		0.004635761589403973
20	CHCHD2	E	0.004635761589403973		0.004635761589403973
21	CLVS2	E	0.004635761589403973		0.004635761589403973
22	COL22A1	E	0.004635761589403973		0.004635761589403973
23	COL9A2	E	0.004635761589403973		0.004635761589403973
24	COLEC12	E	0.004635761589403973		0.004635761589403973
25	CPM	E	0.004635761589403973		0.004635761589403973
26	CSMD2	E	0.004635761589403973		0.004635761589403973
27	DAB1	E	0.004635761589403973		0.004635761589403973
28	DIAPH1	E	0.004635761589403973		0.004635761589403973
29	DKK1	E	0.004635761589403973		0.004635761589403973
30	DPYSL3	E	0.004635761589403973		0.004635761589403973
31	DYRK4	E	0.004635761589403973		0.004635761589403973
32	EIF4A2	E	0.004635761589403973		0.004635761589403973
33	EOMES	E	0.004635761589403973		0.004635761589403973
34	FAM135B	E	0.004635761589403973		0.004635761589403973
35	FAM167A	E	0.004635761589403973		0.004635761589403973
36	FGF10	E	0.004635761589403973		0.004635761589403973
37	FGF13	E	0.004635761589403973		0.004635761589403973
38	FOXF1	E	0.004635761589403973		0.004635761589403973
40	FRG1	E	0.004635761589403973		0.004635761589403973
41	FRMD6	E	0.004635761589403973		0.004635761589403973
42	FRY	E	0.004635761589403973		0.004635761589403973
44	FUT9	E	0.004635761589403973		0.004635761589403973
45	FZD2	E	0.004635761589403973		0.004635761589403973
46	FZD7	E	0.004635761589403973		0.004635761589403973
47	GALNT9	E	0.004635761589403973		0.004635761589403973
48	GALNTL6	E	0.004635761589403973		0.004635761589403973
49	GCNT1	E	0.004635761589403973		0.004635761589403973
50	GRIA1	E	0.004635761589403973		0.004635761589403973
51	GRP	E	0.004635761589403973		0.004635761589403973
52	HERC2P2	E	0.004635761589403973		0.004635761589403973
53	HMGN3	E	0.004635761589403973		0.004635761589403973
55	ID1	E	0.004635761589403973		0.004635761589403973
56	ID3	E	0.004635761589403973		0.004635761589403973
57	ITGA8	E	0.004635761589403973		0.004635761589403973
58	KCNH7	E	0.004635761589403973		0.004635761589403973
59	KHDRBS3	E	0.004635761589403973		0.004635761589403973
61	KIF26A	E	0.004635761589403973		0.004635761589403973
63	LDOC1	E	0.004635761589403973		0.004635761589403973
64	MAN1C1	E	0.004635761589403973		0.004635761589403973
65	MEGF11	E	0.004635761589403973		0.004635761589403973
66	MEIS1	E	0.004635761589403973		0.004635761589403973
67	MEOX1	E	0.004635761589403973		0.004635761589403973
68	MREG	E	0.004635761589403973		0.004635761589403973
69	MSC	E	0.004635761589403973		0.004635761589403973
70	MYO1E	E	0.004635761589403973		0.004635761589403973
71	NAB1	E	0.004635761589403973		0.004635761589403973
72	NACC2	E	0.004635761589403973		0.004635761589403973
73	NCKAP5	E	0.004635761589403973		0.004635761589403973
74	NKD1	E	0.004635761589403973		0.004635761589403973
75	NOX4	E	0.004635761589403973		0.004635761589403973
76	NPC1	E	0.004635761589403973		0.004635761589403973
77	NRARP	E	0.004635761589403973		0.004635761589403973
78	NRN1	E	0.004635761589403973		0.004635761589403973
79	NUAK1	E	0.004635761589403973		0.004635761589403973
80	OTX1	E	0.004635761589403973		0.004635761589403973
81	PCDH19	E	0.004635761589403973		0.004635761589403973
82	PCDH7	E	0.004635761589403973		0.004635761589403973
83	PCDHB5	E	0.004635761589403973		0.004635761589403973
84	PCDHGC3	E	0.004635761589403973		0.004635761589403973
85	PDE10A	E	0.004635761589403973		0.004635761589403973
87	PHYHIPL	E	0.004635761589403973		0.004635761589403973
88	PKNOX2	E	0.004635761589403973		0.004635761589403973
89	PLEKHA4	E	0.004635761589403973		0.004635761589403973
90	PLEKHG4B	E	0.004635761589403973		0.004635761589403973
92	PPM1H	E	0.004635761589403973		0.004635761589403973
93	PPP3CA	E	0.004635761589403973		0.004635761589403973
94	PRPS1	E	0.004635761589403973		0.004635761589403973
95	PSD3	E	0.004635761589403973		0.004635761589403973
96	PTH1R	E	0.004635761589403973		0.004635761589403973
97	PTPRZ1	E	0.004635761589403973		0.004635761589403973
